Cell	20081128_sulston	20190417_ref-2_JIM529_L2	20181207_JIM529_L4	20181030_JIM529_L2	20181101_JIM529_L4	20190321_ref-2_JIM529_L2	20190423_ref-2_JIM529_L2	20190417_ref-2_JIM529_L8	20190417_ref-2_JIM529_L7
ABaraaaapap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraaaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraaap	171	96.8	116.7	118.4	159.6	157.4	113.7	100.3	103.8
ABaraaapa	220	140.6	167.7	171	224.4	215.3	160.6	145.7	145.7
ABaraaapaa	294	208.5	NA	256.4	301.9	296.1	227.8	203.5	NA
ABaraaapaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraaapaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraaapap	279	191.6	NA	238.7	296.9	274.2	220.4	200.1	NA
ABaraaapapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraaapapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraaapp	231	147.3	168.9	182.2	221.9	225.4	166.5	150.7	145.7
ABaraaappa	304	211.9	NA	266.5	NA	316.3	242.7	215.3	NA
ABaraaappaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraaappap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraaappp	299	206.8	NA	NA	299.5	299.5	232.3	218.7	NA
ABaraaapppa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraaapppp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraap	132	62.3	80.9	74.5	120.2	113.9	77.2	65.8	72.7
ABaraapa	171	95.1	116.7	113.3	159.6	155.7	113.7	96.8	103.8
ABaraapaa	229	135.6	162.6	164.7	207	205.1	157.5	137.3	142.3
ABaraapaaa	299	198.4	NA	245	284.4	292.7	232.3	203.5	NA
ABaraapaaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraapaaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraapaap	284	188.3	NA	232.5	269.4	280.9	215.9	195	NA
ABaraapaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraapaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraapap	229	133.9	158.9	160.9	207	203.5	154.5	135.6	140.6
ABaraapapa	279	179.2	NA	217.4	260.6	260.7	204	183.2	NA
ABaraapapaa	409	NA	NA	NA	NA	NA	NA	NA	NA
ABaraapapaad	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraapapaav	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraapapap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraapapp	324	201.8	NA	261.4	298.1	302.8	239.7	205.1	NA
ABaraapappa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraapappp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraapp	171	93.4	112.9	110.7	158.3	154.1	110.7	96.8	100.3
ABaraappa	229	132.3	157.7	160.9	204.4	203.5	154.5	137.3	137.3
ABaraappaa	304	201.8	NA	256.4	281.9	289.4	230.8	206.8	NA
ABaraappaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraappaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraappap	284	183.2	NA	226.2	264.4	270.8	215.9	191.6	NA
ABaraappapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraappapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraappp	229	133.9	155.1	159.7	203.2	201.8	154.5	135.6	137.3
ABaraapppa	279	174.2	NA	214.9	250.7	259.1	204	179.2	NA
ABaraapppaa	409	NA	NA	NA	NA	NA	NA	NA	NA
ABaraapppaad	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraapppaav	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraapppap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraapppp	319	200.1	NA	259	295.7	297.8	229.3	206.8	NA
ABaraappppa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraappppp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABarap	103	39.8	52.6	44.8	91	81.4	47.8	38	46.7
ABarapa	132	64.1	82.2	74.5	122.7	115.5	75.6	65.8	72.7
ABarapaa	171	98.6	119.3	113.3	164.6	160.8	113.7	98.6	105.5
ABarapaaa	234	145.7	168.9	174.7	216.9	218.7	165	145.7	150.7
ABarapaaaa	319	217	NA	262.7	300.7	302.8	235.3	213.6	NA
ABarapaaaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABarapaaaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABarapaaap	324	215.3	NA	271.6	303.2	312.9	239.7	222	NA
ABarapaaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABarapaaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABarapaap	229	137.3	161.4	163.4	212	210.2	156	138.9	145.7
ABarapaapa	339	210.2	NA	262.7	303.2	306.2	239.7	218.7	NA
ABarapaapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABarapaapap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABarapaapp	284	186.6	NA	219.9	266.9	274.2	208.5	188.3	NA
ABarapaappa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABarapaappp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABarapap	171	95.1	115.4	109.4	158.3	152.4	109.2	96.8	102.1
ABarapapa	214	135.6	165.2	162.2	207	203.5	153	138.9	144
ABarapapaa	304	200.1	NA	242.6	285.6	284.3	287.4	205.1	NA
ABarapapaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
