Cell	20081128_sulston	20190417_ref-2_JIM529_L2	20181207_JIM529_L4	20181030_JIM529_L2	20181101_JIM529_L4	20190321_ref-2_JIM529_L2	20190423_ref-2_JIM529_L2	20190417_ref-2_JIM529_L8	20190417_ref-2_JIM529_L7
ABaraapaaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraapaaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraapaap	54	51	NA	66.6	61.1	74	56.9	56.1	NA
ABaraapaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraapaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraapap	57	37.1	40.9	46.3	46.1	46	39.3	37	35
ABaraapapa	49	43.5	NA	55.2	52.4	55.6	48	45.8	NA
ABaraapapaa	129	NA	NA	NA	NA	NA	NA	NA	NA
ABaraapapaad	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraapapaav	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraapapap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraapapp	94	66.2	NA	99.1	89.9	97.7	83.6	67.7	NA
ABaraapappa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraapappp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraapp	38	29.3	30.7	34.9	36.8	38.5	32	29.3	25.8
ABaraappa	57	37.2	43.4	48.9	44.8	47.8	42.3	38.7	35.2
ABaraappaa	74	67.9	NA	94.1	76.1	84.2	74.8	67.9	NA
ABaraappaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraappaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraappap	54	49.2	NA	64	58.6	65.7	59.9	52.6	NA
ABaraappapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraappapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraappp	57	38.8	40.8	47.6	43.5	46.1	42.3	37	35.2
ABaraapppa	49	38.5	NA	54	46.2	55.6	48	41.8	NA
ABaraapppaa	129	NA	NA	NA	NA	NA	NA	NA	NA
ABaraapppaad	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraapppaav	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraapppap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraapppp	89	64.5	NA	98.1	91.2	94.3	73.3	69.5	NA
ABaraappppa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraappppp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABarap	29	22.5	21.8	22.7	24.5	26	23.1	22.5	22.6
ABarapa	28	22.5	28.3	28.4	30.4	32.4	26.3	26	24.2
ABarapaa	38	32.8	35.8	37.5	40.5	43.6	36.5	31	31
ABarapaaa	62	45.3	48.3	60.1	51	56.1	49.8	45.3	43.4
ABarapaaaa	84	69.6	NA	86.7	82.5	82.5	68.8	66.2	NA
ABarapaaaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABarapaaaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABarapaaap	89	68	NA	95.7	85	92.5	73.1	74.6	NA
ABarapaaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABarapaaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABarapaap	57	37	40.8	48.8	46.1	47.6	40.8	38.6	38.4
ABarapaapa	109	71.2	NA	98	90	94.2	82.1	78.1	NA
ABarapaapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABarapaapap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABarapaapp	54	47.6	NA	55.2	53.6	62.2	51	47.7	NA
ABarapaappa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABarapaappp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABarapap	38	29.3	32	33.6	34.3	35.2	32	29.3	27.5
ABarapapa	42	38.8	48.4	51.4	47.4	49.4	42.3	40.3	40.2
ABarapapaa	89	62.7	NA	79.1	77.4	79.2	132.8	64.5	NA
ABarapapaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABarapapaap	84	NA	NA	NA	NA	NA	NA	NA	NA
ABarapapaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABarapapaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABarapapap	64	52.6	NA	65.2	62.4	64.1	58.5	52.7	NA
ABarapapapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABarapapapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABarapapp	38	35.5	39.7	43.8	43.5	47.7	39.2	35.3	33.5
ABarapappa	108	86.4	NA	117	NA	112.8	91.2	88.1	NA
ABarapappaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABarapappap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABarapappp	48	45.2	NA	52.7	50	52.1	51	42	NA
ABarapapppa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABarapapppp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABarapp	28	24.2	28.3	28.4	29.2	32.4	26.3	26	24.2
ABarappa	38	31	38.3	36.2	39.3	40.2	32	34.5	29.3
ABarappaa	57	42	47	52.6	48.6	54.5	46.8	43.5	40.1
ABarappaaa	74	57.8	NA	75.4	76.1	79	73.3	66.3	NA
ABarappaaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
